Filename;File number;Page left;Page top;Page right;Page bottom;Line id;Line;Confidence;Average;Standard deviation;Line left;Line top;Line right;Line bottom;Rel left;Rel right;Rel top;Rel bottom
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_1;22 The Jeake Family of Rye, 1640-1736;[95, 93, 93, 96, 97, 96, 92];94.57;1.9;264;144;1034;182;0.191304348;0.749275362;0.05841785;0.073833671
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_2;A close relationship between the two prior to the disagreement is indicated not;[96, 96, 95, 93, 97, 95, 96, 96, 96, 96, 96, 96, 96];95.69;0.95;309;241;1350;276;0.223913043;0.97826087;0.097768763;0.111967546
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_3;only by the exchange of a token but also by Richard’s intimate knowledge of Barbara's;[96, 96, 96, 96, 96, 96, 96, 96, 96, 93, 91, 96, 96, 97, 0];89.13;24.7;265;280;1350;315;0.192028986;0.97826087;0.113590264;0.127789047
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_4;previous relationships. In his letters he made several mentions of her second husband,;[91, 95, 96, 96, 94, 96, 96, 96, 96, 96, 96, 96, 95];95.31;1.44;265;320;1349;355;0.192028986;0.977536232;0.129817444;0.144016227
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_5;Mr Harding, and demonstrated an awareness that Barbara had already married twice;[96, 96, 96, 95, 96, 96, 96, 96, 95, 95, 96, 96];95.75;0.45;266;360;1351;394;0.192753623;0.978985507;0.146044625;0.159837728
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_6;against her will (FRE 5270). The intimacy of the relationship in also indicated by the;[96, 96, 96, 96, 95, 96, 96, 96, 96, 96, 96, 97, 96, 97, 96];96.07;0.46;265;399;1350;434;0.192028986;0.97826087;0.161866126;0.176064909
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_7;promise of ‘letters full of kisses’ and Richard’s desire to ‘injoy thee one night instead;[96, 96, 94, 95, 96, 95, 93, 92, 96, 93, 92, 96, 96, 96, 96];94.8;1.57;266;439;1350;474;0.192753623;0.97826087;0.178093306;0.192292089
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_8;of every nights dreames on thee’ (FRE 5269). The question of whether this indicates;[96, 96, 93, 93, 96, 96, 96, 96, 96, 96, 97, 96, 97, 96];95.71;1.2;266;477;1351;513;0.192753623;0.978985507;0.193509128;0.20811359
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_9;an already physical relationship is problematic but it was certainly not unusual for;[96, 96, 90, 90, 96, 96, 96, 96, 96, 96, 96, 96, 96];95.08;2.25;266;518;1351;553;0.192753623;0.978985507;0.210141988;0.224340771
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_10;engaged couples to become physically intimate.* Another clue to Barbara and;[96, 96, 95, 95, 93, 53, 96, 96, 96, 96, 96];91.64;12.85;266;556;1351;593;0.192753623;0.978985507;0.225557809;0.240567951
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_11;Richard's relationship is his claimed affection for her young daughter, Bab. Barbara;[3, 96, 96, 93, 93, 96, 96, 96, 96, 96, 96, 96];87.75;26.71;267;595;1351;633;0.193478261;0.978985507;0.24137931;0.256795132
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_12;had left Rye during their quarrel and Bab was being cared for by a local woman.;[96, 96, 96, 95, 96, 94, 96, 96, 96, 96, 96, 96, 96, 95, 95, 94];95.56;0.73;266;635;1350;672;0.192753623;0.97826087;0.257606491;0.272616633
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_13;Richard visited her on at least one occasion so that he ‘might kisse mine owne’ (FRE;[96, 96, 96, 96, 95, 95, 97, 96, 96, 96, 96, 93, 93, 93, 92, 96];95.12;1.5;267;674;1351;712;0.193478261;0.978985507;0.273427992;0.288843813
IMG_2021_12_23_11_51_10L.jpg;22;0;0;1380;2465;line_1_14;5270). No other indications about Richard’s connection with Bab are given in the;[90, 95, 96, 96, 93, 90, 96, 96, 96, 96, 96, 96, 96];94.77;2.28;267;714;1351;750;0.193478261;0.978985507;0.289655172;0.304259635
